Timestamp,"1. Actualmente ¿trabajas en arqueología? 
",2. ¿Con que género te identificas?,3. ¿En qué rango de edad te encuentras?, 4. ¿En cuál de las siguientes áreas has desarrollado principalmente tu trabajo?  ,"5. Actualmente, ¿cómo obtienes tus ingresos relacionados con arqueología? Puedes seleccionar varias opciones",6 ¿Cuántos años tienes de experiencia en Arqueología?,"7. ¿Cuál es tu nivel de formación académica?
"," 8. ¿Cuál es tu ingreso mensual promedio relacionado con la arqueología?  Si tienes varias fuentes, un promedio general","9. ¿En qué departamento realizas la mayor parte de tu trabajo? Si tienes varios, elige los 2 más significativos. También aplica trabajo académico","10. En tu experiencia, ¿qué factor ha tenido mayor impacto en tus ingresos como arqueólog@?  Lo que mas te ha ayudado a subir tu salario considerablemente",11. ¿Cuál es actualmente tu cargo o rol en arqueología?,"  12. ¿En qué tipo de proyecto o empresa trabajas principalmente?  Si tienes varios, elige el más importante",13.Tus ingresos en arqueología son...,"14. En un mes típico, ¿cuántos días realizas trabajo de campo?",15. ¿Cuántas personas tienes a cargo dentro de tu proyecto o empleo?,16. ¿Cuáles de herramientas tecnológicas utilizas más para tus trabajos en arqueología? Elige todas las que sepas manejar,"17. ¿En que grado, consideras tú que es el mayor problema del mercado laboral de la Arqueología en Colombia? Elige el que consideras más relevante",18. ¿Valió la pena para ti hacer posgrado en arqueología? A nivel de salario y desarrollo profesional,"19. ¿En qué área está tu posgrado? Especialización, maestría o doctorado. Elige solo una","20. Según tu experiencia y lo que notas, ¿crees que tu remuneración actual es..?","21. Si pudieras cambiar una sola cosa para mejorar la profesión de los arqueólogos en Colombia, ¿cuál sería?","22.  Si pudieras decidir de nuevo, ¿volverías a elegir arqueología en Colombia como profesión? Califica de 1 a 5

1. No
2. Probablemente no
3. Quizás...Tal vez
4. Probablemente si
5. Claro ¡Me encanta!",Comentarios y sugerencias que nos quieras hacer o compartir. Puedes dejarnos reflexiones y anécdotas sobre tu vida profesional. Queremos escucharte
6/26/2026 12:12:42,"Si, es mi profesión principal",Mujer,50 años o más,Ambas por igual,"Contratista - prestación de servicios, Docencia e investigación universitaria",11 y 15 años,Doctorado,6 millones a 7 millones,Bogotá D.C.,"Nivel de formacion academica (especializacion, maestria, doctorado)","Profesor de antropología, arqueología o afines",Universidad,Variables. Depende de contratos,De 1 a 5 días,Ninguna,"Excel, QGis, Fotogrametría, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc",Falta de estabilidad laboral,"Útil. Lo mejoró si, pero no lo que esperaba",Zooarqueología. Biología. Bioarqueología. Osteología. Medicina. Nutrición. Paleoantropologia. Biología molecular.,Mucho menor a la que debería ganar,Mayor estabilidad laboral,4,"Algunos de los cuestionamientos , no se pueden responder con una única respuesta"
6/26/2026 12:17:12,"No actualmente, pero lo he hecho antes",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Contratista - prestación de servicios",Entre 1 a 3 años,Pregrado,De 2 millones a 2.5 millones,Antioquia,Años de experiencia,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,Ninguna,"Excel, Word, QGis, Google Maps",Falta de estabilidad laboral,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Algo menor de lo que debería ganar,Más oportunidades de empleo,2,Yo solo quiero sugerir que los resultados de esta encuesta sean socializados con el ICANH y las principales empresas de la construcción.
6/29/2026 22:22:23,"No actualmente, pero lo he hecho antes",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,7 a 10 años,Pregrado,De 3 millones a 4 millones,Antioquia,En realidad es un área donde las posibilidades de subir el sueldo son muy limitadas a pesar de cualquier conocimiento específico.,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 4 a 10 personas,"Excel, Word, QGis, ArcGis, Google Maps, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,"No tengo posgrado, porque los colegas que conozco que si lo tienen han tenido demasiadas dificultades para encontrar trabajo por estar "" sobre perfilados"" o no se les reconoce lo aprendido a nivel económico.",No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,3,.
6/30/2026 8:13:38,"Si, es mi profesión principal",Mujer,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,De 2 millones a 2.5 millones,Magdalena,Tus buenos contactos y tu red profesional,Desempleada,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Ocasionales o esporádicos,Más de 15 días,Ninguna,"Excel, Word, QGis, Google Maps, Fotogrametría, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Poca oferta de empleos,"No tengo título de posgrado aún, pero quiero hacerlo",Gestión del patrimonio cultural. Curaduría y restauración. Arquitectura. Estudios urbanisticos. Museología. Artes,No sé cuánto debería ganar realmente,Más oportunidades de empleo,4,"He amado mi profesión todo el tiempo soy feliz de hacerlo así tenga poco pago, me conformo con poco dinero, lo triste es no tener nada de oferta de trabajo y que pasen los meses y sigas esperando que aparezca algo pero no hay empleo, si tus amigos o familiares no te emplean no tienes nada."
6/30/2026 10:08:13,"No actualmente, pero lo he hecho antes",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Trabajador independiente, Consultoria",7 a 10 años,Maestría,De 2.5 millones a 3 millones,"Bogotá D.C., Antioquia",Manejar SIG,Auxiliar de arqueología,Consultoría ambiental o estudios de impacto,Variables. Depende de contratos,Más de 15 días,De 4 a 10 personas,"Excel, Word, Python, QGis, Google Maps, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc",Bajos salarios,Para nada. Lo que aprendí no se aplica en mi trabajo. La inversión se perdió,Antropología en general o arqueología,Mucho menor a la que debería ganar,Más regulación del sector,1,"esta opcion deberia ser opcional y es obligatoria, en teoría solo deberia ser si uno lo desea, pero el formulario no se deja enviar si uno no escribe nada aqui. Bruh. "
6/30/2026 14:24:33,"No actualmente, pero lo he hecho antes",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Trabajador independiente,4 a 6 años,Pregrado,De 2.5 millones a 3 millones,"Bogotá D.C., Atlánico, Cundinamarca, Magdalena",Tus buenos contactos y tu red profesional,Investigador independiente,"Trabajo independiente, freenlance o por proyectos",Variables. Depende de contratos,No realizo trabajo de campo,Ninguna,"Excel, Word, Google Sheets, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc",Falta de claridad en tarifas u honorarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,4,. 
7/1/2026 19:30:27,"Si, es mi profesión principal",Hombre,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Maestría,De 4 millones a 5 millones,Sucre,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,30,Más de 10 personas,"Excel, Word, QGis, Google Maps, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Bajos salarios,Considero que el posgrado no es relevante,Antropología en general o arqueología,Mucho menor a la que debería ganar,Mejor claridad en los honorarios o sueldos,2,Es un gremio donde los colegas son más explotadores que los ingenieros y dónde el ente regulador le exige más al profesional que a las empresas que son las que generan el detrimento patrimonial
7/2/2026 6:29:42,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,11 y 15 años,Pregrado,De 5 millones a 6 millones,Santander,Años de experiencia,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,De 6 a 10 días,De 4 a 10 personas,"Excel, Word, QGis, ArcGis, Google Maps, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Redes sociales: WhatsApp, Telegram, etc",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",Gestión del patrimonio cultural. Curaduría y restauración. Arquitectura. Estudios urbanisticos. Museología. Artes,Algo menor de lo que debería ganar,Mejores salarios,2,"La formación de un gremio en el que podamos protegernos y garantizar el debido manejo arqueológico de los proyectos, además de, salarios dignos."
7/2/2026 11:07:46,"Si, es mi profesión principal",Prefiero no decirlo,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Consultoria",Menos de 1 año,Pregrado,De 4 millones a 5 millones,"Atlánico, Cundinamarca",Años de experiencia,Auxiliar de arqueología,Consultoría ambiental o estudios de impacto,Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"QGis, Google Maps",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Aproximadamente lo que debería ganar,Mejores salarios,3,"El problema base actual de la arqueología en Colombia se reproduce en la medida en que los líderes de arqueología, (no todos, pero si varios que conozco de primera mano) no trabajan para el patrimonio del Estado y los ciudadanos, sino que se enriquecen a costas de estudiantes y recién graduados que son fácilmente manipulables, y sin el suficiente profesional criterio para discutir o notificar irregularidades. NUNCA SE REGALEN, IGUAL LES IMPORTAN UNA MIERDA A SUS EMPLEADORES, NUESTRO TRABAJO VALE DEMASIADO, DÉMONOS EL VALOR QUE TENEMOS"
7/2/2026 13:05:12,"Si, es mi profesión principal",Mujer,50 años o más,Ambas por igual,"Contratista - prestación de servicios, Docencia e investigación universitaria",11 y 15 años,Doctorado,6 millones a 7 millones,"Bogotá D.C., Santander","Nivel de formacion academica (especializacion, maestria, doctorado)","Profesor de antropología, arqueología o afines",Universidad,Variables. Depende de contratos,De 1 a 5 días,Ninguna,"Excel, Word, Google Sheets, SPSS, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, Google Maps, Fotogrametría, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Falta de estabilidad laboral,"Útil. Lo mejoró si, pero no lo que esperaba",Zooarqueología. Biología. Bioarqueología. Osteología. Medicina. Nutrición. Paleoantropologia. Biología molecular.,Mucho menor a la que debería ganar,Más regulación del sector,4,La desigualdad basada en género es determinante 
7/2/2026 14:54:48,"Si, es mi profesión principal",Mujer,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Consultoria",11 y 15 años,Especializacion,De 2.5 millones a 3 millones,Antioquia,Tus buenos contactos y tu red profesional,Arqueólogo,"Trabajo independiente, freenlance o por proyectos",Variables. Depende de contratos,No realizo trabajo de campo,De 1 a 3 personas,"Excel, Word, Google Sheets, Google Maps, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Falta de estabilidad laboral,"Útil. Lo mejoró si, pero no lo que esperaba",Antropología en general o arqueología,Algo menor de lo que debería ganar,Mayor estabilidad laboral,4,N/A
7/6/2026 14:40:50,"No actualmente, pero lo he hecho antes",Mujer,26 años - 30 años,Área forense,Contratista - prestación de servicios,Entre 1 a 3 años,Especializacion,6 millones a 7 millones,"Quindio, Risaralda",Tus buenos contactos y tu red profesional,Antropóloga forense,Sector forense - Fiscalía - UBPD,Muy estables. Cuento siempre con un salario fijo,De 6 a 10 días,De 1 a 3 personas,"Excel, Word, QGis, ArcGis, Google Maps, Fotogrametría, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc",Poca oferta de empleos,Mi posgrado no es en arquelogia,"Derecho. Antropología forense. Arqueología forense. Derechos humanos, enfocado al tema forense.",Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,"La universidad no nos enseña realmente el verdadero escenario profesional, falta preparación en hojas de vida, en entrevistas laborales que permitan desenvolverse mejor en estos procesos tan traumáticos para un recién egresado"
7/6/2026 16:33:06,"Si, es mi profesión principal",Hombre,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 2.5 millones a 3 millones,Santander,Tus buenos contactos y tu red profesional,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"QGis, ArcGis",Falta de estabilidad laboral,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho mayor de lo que debería ganar,Más oportunidades de empleo,1,...
7/6/2026 19:28:34,"Si, es mi profesión principal",Hombre,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,No tengo experiencia,Pregrado,De 2.5 millones a 3 millones,Bogotá D.C.,Años de experiencia,Auxiliar de arqueología,Trabajo en laboratorios,Variables. Depende de contratos,No realizo trabajo de campo,Ninguna,"Excel, Word, Google Sheets, QGis, Google Maps, Fotogrametría, Redes sociales: WhatsApp, Telegram, etc",Poca oferta de empleos,"No tengo título de posgrado aún, pero quiero hacerlo",Zooarqueología. Biología. Bioarqueología. Osteología. Medicina. Nutrición. Paleoantropologia. Biología molecular.,Aproximadamente lo que debería ganar,Más oportunidades de empleo,4,.
7/6/2026 19:38:57,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Contratista - prestación de servicios",7 a 10 años,Pregrado,De 4 millones a 5 millones,"Antioquia, Caldas, Cundinamarca, Meta",Manejar SIG,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,De 1 a 5 días,De 4 a 10 personas,"Excel, Word, QGis, ArcGis, Google Maps, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Poca oferta de empleos,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Algo menor de lo que debería ganar,Mayor estabilidad laboral,2,"La oferta es muy limitada. Es muy tu a tu; es decir, la mayoría de los trabajos los he conseguido porque conocía a alguien, pero no hay casi vacantes en páginas de empleo, y las pocas que hay nunca llaman, se aplica a la vacante y no se recibe ninguna respuesta. Todo es muy informal. Eso genera mucha incertidumbre e inestabilidad. Y considero que hay también un monopolio en la arqueología preventiva, sobre los profesionales que obtienen el liderazgo de los proyectos. Siempre son los mismos. "
7/6/2026 20:28:06,"No actualmente, pero lo he hecho antes",Mujer,31 años - 35 años,"Arqueología académica o básica: docencia, investigación, editoriales, museos, semilleros, proyectos academicos, universidades","Contratista - prestación de servicios, Trabajador independiente, Divulgacion cientifica, Museos y conservación. Gestor cultural, Investigación en laboratorio",Entre 1 a 3 años,Pregrado,De 2 millones a 2.5 millones,"Bogotá D.C., Boyacá, Cundinamarca","Habilidades tecnológicas: programación, Excel, analitica de datos, bases de datos, etc",Gestor social o cultural,Gestión del patrimonio cultural,Variables. Depende de contratos,No realizo trabajo de campo,Ninguna,"Excel, Word, Google Sheets, QGis, SQL, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc",Falta de claridad en tarifas u honorarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,3,.
